PLAYER,POS,TEAM,GAME,FP,FD EXP,DK EXP,INN,K,HA,ER,BBI,RBI,R,H,DK,FD,OWNERSHIP
Bryce Harper,RF,PHI,COL@PHI,4.48,15.61,11.61,,,,,,0.78,0.85,1.26,11.61,15.61,100
Freddie Freeman,1B,LAD,LAD@ARI,4.32,14.46,10.85,,,,,,0.71,0.93,1.33,10.85,14.46,100
Trea Turner,SS,LAD,LAD@ARI,4.29,15.5,11.8,,,,,,0.81,0.87,1.41,11.8,15.5,100
Mookie Betts,RF,LAD,LAD@ARI,4.22,14.68,11.03,,,,,,0.61,0.95,1.2,11.03,14.68,100
Jasrado Chisholm,2B,MIA,MIA@WAS,4.14,15.41,11.63,,,,,,0.79,0.77,1.22,11.63,15.41,100
Francisco Lindor,SS,NYM,NYM@STL,4.03,14.06,10.37,,,,,,0.69,0.77,1.11,10.37,14.06,100
Vladimir Guerrero Jr.,1B,TOR,BOS@TOR,4,13.85,10.32,,,,,,0.79,0.74,1.18,10.32,13.85,100
Austin Riley,3B,ATL,CHC@ATL,3.97,14.01,10.55,,,,,,0.86,0.66,1.25,10.55,14.01,100
Matt Olson,1B,ATL,CHC@ATL,3.97,13.56,10.17,,,,,,0.74,0.69,1.2,10.17,13.56,100
Jose Ramirez,3B,CLE,CLE@LAA,3.94,13.68,10.25,,,,,,0.77,0.76,1.16,10.25,13.68,100
Max Muncy,1B,LAD,LAD@ARI,3.88,13.34,9.76,,,,,,0.79,0.74,0.97,9.76,13.34,100
Juan Soto,LF,WAS,MIA@WAS,3.86,12.98,9.57,,,,,,0.55,0.69,0.99,9.57,12.98,100
Nick Castellanos,RF,PHI,COL@PHI,3.81,13.2,10.04,,,,,,0.76,0.71,1.33,10.04,13.2,100
Jesus Sanchez,DH,MIA,MIA@WAS,3.73,13.2,10.05,,,,,,0.69,0.66,1.19,10.05,13.2,93
Starling Marte,CF,NYM,NYM@STL,3.73,13.74,10.49,,,,,,0.6,0.78,1.23,10.49,13.74,100
Yulieski Gurriel,1B,HOU,HOU@TEX,3.67,12.17,9.25,,,,,,0.63,0.7,1.24,9.25,12.17,77
Aaron Judge,RF,NYY,BAL@NYY,3.64,12.73,9.64,,,,,,0.64,0.67,1.18,9.64,12.73,100
Ozzie Albies,2B,ATL,CHC@ATL,3.63,12.99,9.76,,,,,,0.65,0.74,1.02,9.76,12.99,100
Kyle Tucker,LF,HOU,HOU@TEX,3.6,12.78,9.59,,,,,,0.82,0.66,1.02,9.59,12.78,100
Christian Yelich,LF,MIL,MIL@PIT,3.51,13.03,9.56,,,,,,0.69,0.8,1.01,9.56,13.03,99
Cedric Mullins,CF,BAL,BAL@NYY,3.5,13.04,10.09,,,,,,0.43,0.59,1.19,10.09,13.04,100
Brandon Nimmo,RF,NYM,NYM@STL,3.49,12.13,9.11,,,,,,0.46,0.67,1.08,9.11,12.13,85
Pete Alonso,1B,NYM,NYM@STL,3.47,12.1,9,,,,,,0.79,0.56,1.06,9,12.1,100
Luis Urias,2B,MIL,MIL@PIT,3.46,12.14,9.05,,,,,,0.64,0.67,1.03,9.05,12.14,80
Manny Machado,3B,SD,SD@CIN,3.45,12.3,9.33,,,,,,0.61,0.63,1.16,9.33,12.3,100
Rafael Devers,3B,BOS,BOS@TOR,3.41,12.31,9.23,,,,,,0.71,0.59,1.07,9.23,12.31,100
Nolan Arenado,3B,STL,NYM@STL,3.39,11.65,8.77,,,,,,0.74,0.57,1.04,8.77,11.65,100
Kyle Schwarber,DH,PHI,COL@PHI,3.35,12.14,8.92,,,,,,0.68,0.75,0.88,8.92,12.14,100
Austin Meadows,RF,DET,DET@MIN,3.34,11.84,8.91,,,,,,0.7,0.58,1.1,8.91,11.84,98
Giancarlo Stanton,OF,NYY,BAL@NYY,3.34,11.97,9.03,,,,,,0.84,0.5,1.13,9.03,11.97,99
Anthony Rizzo,1B,NYY,BAL@NYY,3.34,11.47,8.51,,,,,,0.65,0.57,0.91,8.51,11.47,99
Jesus Aguilar,1B,MIA,MIA@WAS,3.34,11.81,8.91,,,,,,0.85,0.46,1.13,8.91,11.81,73
Mike Trout,CF,LAA,CLE@LAA,3.33,12.05,9.1,,,,,,0.5,0.66,1.01,9.1,12.05,100
Will Smith,C,LAD,LAD@ARI,3.31,11.25,8.25,,,,,,0.74,0.63,0.87,8.25,11.25,99
Trevor Story,2B,BOS,BOS@TOR,3.28,12.53,9.58,,,,,,0.52,0.62,1.16,9.58,12.53,100
Jose Abreu,1B,CHW,KC@CHW,3.26,11.41,8.41,,,,,,0.81,0.61,0.99,8.41,11.41,100
Avisail Garcia,RF,MIA,MIA@WAS,3.24,11.93,9.09,,,,,,0.71,0.58,1.17,9.09,11.93,78
Brandon Belt,1B,SF,OAK@SF,3.21,11.68,8.8,,,,,,0.58,0.57,0.97,8.8,11.68,95
Willy Adames,SS,MIL,MIL@PIT,3.21,12.09,8.98,,,,,,0.61,0.72,1.09,8.98,12.09,96
Tim Anderson,SS,CHW,KC@CHW,3.19,11.32,8.77,,,,,,0.53,0.68,1.29,8.77,11.32,99
Justin Turner,3B,LAD,LAD@ARI,3.18,10.88,8.15,,,,,,0.63,0.69,1.04,8.15,10.88,98
George Springer,CF,TOR,BOS@TOR,3.17,11.64,8.71,,,,,,0.57,0.72,0.99,8.71,11.64,100
Rhys Hoskins,1B,PHI,COL@PHI,3.17,11.46,8.44,,,,,,0.63,0.63,0.87,8.44,11.46,99
Kolten Wong,2B,MIL,MIL@PIT,3.13,11.28,8.48,,,,,,0.53,0.74,1.05,8.48,11.28,85
Xander Bogaerts,SS,BOS,BOS@TOR,3.08,11.32,8.82,,,,,,0.51,0.58,1.33,8.82,11.32,100
Alex Verdugo,RF,BOS,BOS@TOR,3.08,10.8,8.28,,,,,,0.55,0.55,1.16,8.28,10.8,98
Yordan Alvarez,OF,HOU,HOU@TEX,3.05,10.85,8.08,,,,,,0.63,0.59,0.94,8.08,10.85,100
Luis Robert,CF,CHW,KC@CHW,3.04,11,8.3,,,,,,0.57,0.65,1.03,8.3,11,100
Corey Seager,SS,TEX,HOU@TEX,3.03,10.62,8.07,,,,,,0.56,0.56,1.05,8.07,10.62,100
Kris Bryant,3B,COL,COL@PHI,3.02,10.96,8.46,,,,,,0.45,0.64,1.2,8.46,10.96,100
Marcell Ozuna,LF,ATL,CHC@ATL,3,10.66,8.04,,,,,,0.67,0.46,0.99,8.04,10.66,99
Ryan Mountcastle,1B,BAL,BAL@NYY,2.98,11.31,8.6,,,,,,0.68,0.52,1.08,8.6,11.31,95
Jorge Polanco,2B,MIN,DET@MIN,2.98,10.44,7.9,,,,,,0.57,0.63,1.07,7.9,10.44,100
Lorenzo Cain,CF,MIL,MIL@PIT,2.98,11.04,8.15,,,,,,0.63,0.66,1,8.15,11.04,36
Ryan McMahon,2B,COL,COL@PHI,2.97,11.27,8.52,,,,,,0.63,0.58,1.09,8.52,11.27,96
Byron Buxton,CF,MIN,DET@MIN,2.97,11.12,8.42,,,,,,0.49,0.66,1,8.42,11.12,100
Connor Joe,1B,COL,COL@PHI,2.97,10.73,8.25,,,,,,0.52,0.51,1.07,8.25,10.73,92
Alex Bregman,3B,HOU,HOU@TEX,2.97,10.33,7.77,,,,,,0.61,0.59,1.04,7.77,10.33,100
Charlie Blackmon,CF,COL,COL@PHI,2.96,10.56,7.99,,,,,,0.57,0.59,1.09,7.99,10.56,89
Hunter Renfroe,LF,MIL,MIL@PIT,2.95,10.65,7.98,,,,,,0.59,0.62,0.97,7.98,10.65,77
Joey Votto,1B,CIN,SD@CIN,2.92,10.56,7.78,,,,,,0.58,0.53,0.78,7.78,10.56,92
Salvador Perez,1B,KC,KC@CHW,2.91,10.69,8.14,,,,,,0.67,0.48,1.01,8.14,10.69,100
Bo Bichette,SS,TOR,BOS@TOR,2.91,11.29,8.53,,,,,,0.64,0.71,1.06,8.53,11.29,100
Lourdes Gurriel,OF,TOR,BOS@TOR,2.9,10.53,7.98,,,,,,0.64,0.56,1.06,7.98,10.53,95
Marcus Semien,2B,TEX,HOU@TEX,2.88,10.67,8.05,,,,,,0.5,0.62,0.92,8.05,10.67,100
Jeremy Pena,SS,HOU,HOU@TEX,2.88,10.23,7.76,,,,,,0.52,0.61,0.99,7.76,10.23,82
Wander Franco,2B,TB,SEA@TB,2.87,10.02,7.64,,,,,,0.5,0.63,1.02,7.64,10.02,100
Mitch Haniger,RF,SEA,SEA@TB,2.87,10.58,8.02,,,,,,0.61,0.56,0.97,8.02,10.58,99
Jean Segura,2B,PHI,COL@PHI,2.87,10.08,7.89,,,,,,0.43,0.58,1.22,7.89,10.08,90
Paul Goldschmidt,1B,STL,NYM@STL,2.86,10.32,7.86,,,,,,0.51,0.58,1.03,7.86,10.32,100
Michael Brantley,OF,HOU,HOU@TEX,2.86,10.11,7.8,,,,,,0.54,0.57,1.15,7.8,10.11,88
Jared Walsh,1B,LAA,CLE@LAA,2.83,10.67,8.02,,,,,,0.68,0.51,1.02,8.02,10.67,96
Josh Donaldson,3B,NYY,BAL@NYY,2.83,10.16,7.58,,,,,,0.52,0.59,0.88,7.58,10.16,96
Eric Hosmer,1B,SD,SD@CIN,2.82,9.97,7.6,,,,,,0.54,0.46,1.07,7.6,9.97,32
Javier Baez,SS,DET,DET@MIN,2.82,11.36,8.67,,,,,,0.68,0.54,1.08,8.67,11.36,98
Josh Bell,1B,WAS,MIA@WAS,2.81,9.83,7.26,,,,,,0.67,0.54,0.84,7.26,9.83,98
