PLAYER,POS,TEAM,GAME,FP,FD EXP,DK EXP,INN,K,HA,ER,BBI,RBI,R,H,DK,FD,OWNERSHIP
Christian Walker,1B,ARI,LAD@ARI,2.24,8.72,6.56,,,,,,0.48,0.49,0.81,6.56,8.72,19
Jose Adolis Garcia,RF,TEX,HOU@TEX,2.22,9.39,6.9,,,,,,0.61,0.51,0.76,6.9,9.39,83
Brendan Rodgers,2B,COL,COL@PHI,2.21,8.37,6.54,,,,,,0.37,0.46,0.98,6.54,8.37,63
Willy Adames,SS,MIL,SF@MIL,2.19,8.54,6.59,,,,,,0.37,0.42,0.93,6.59,8.54,96
Ketel Marte,2B,ARI,LAD@ARI,2.1,8.06,6.27,,,,,,0.38,0.39,0.97,6.27,8.06,99
Joc Pederson,1B,SF,SF@MIL,2.06,8.1,6.11,,,,,,0.41,0.44,0.77,6.11,8.1,57
Anthony Rendon,3B,LAA,CLE@LAA,2.04,7.82,5.86,,,,,,0.35,0.4,0.71,5.86,7.82,98
Pavin Smith,1B,ARI,LAD@ARI,2.03,7.72,5.99,,,,,,0.33,0.4,0.9,5.99,7.72,23
Brandon Marsh,CF,LAA,CLE@LAA,2.03,7.78,5.83,,,,,,0.42,0.39,0.72,5.83,7.78,49
Odubel Herrera,CF,PHI,COL@PHI,2.03,7.46,5.68,,,,,,0.38,0.4,0.77,5.68,7.46,7
Harrison Bader,CF,STL,NYM@STL,2.02,7.76,5.9,,,,,,0.37,0.41,0.71,5.9,7.76,32
David Peralta,LF,ARI,LAD@ARI,2,7.6,5.85,,,,,,0.4,0.32,0.87,5.85,7.6,19
Enrique Hernandez,2B,BOS,BOS@TOR,2,7.25,5.54,,,,,,0.32,0.41,0.72,5.54,7.25,63
Luis Gonzalez,CF,SF,SF@MIL,1.94,7.96,6.01,,,,,,0.41,0.41,0.74,6.01,7.96,1
Kole Calhoun,RF,TEX,HOU@TEX,1.92,7.58,5.71,,,,,,0.39,0.42,0.7,5.71,7.58,15
Christian Yelich,LF,MIL,SF@MIL,1.89,7.88,6.08,,,,,,0.29,0.36,0.86,6.08,7.88,99
Hunter Renfroe,LF,MIL,SF@MIL,1.87,7.41,5.58,,,,,,0.43,0.37,0.68,5.58,7.41,76
Austin Slater,1B,SF,SF@MIL,1.86,8.09,6.16,,,,,,0.37,0.4,0.77,6.16,8.09,15
Brad Miller,1B,TEX,HOU@TEX,1.85,6.94,5.17,,,,,,0.41,0.37,0.59,5.17,6.94,12
Daulton Varsho,C,ARI,LAD@ARI,1.81,7.19,5.48,,,,,,0.36,0.34,0.63,5.48,7.19,97
Bobby Dalbec,3B,BOS,BOS@TOR,1.78,7.11,5.45,,,,,,0.36,0.32,0.66,5.45,7.11,42
Max Stassi,C,LAA,CLE@LAA,1.77,6.78,5.1,,,,,,0.35,0.35,0.6,5.1,6.78,34
Andrew McCutchen,RF,MIL,SF@MIL,1.75,6.47,4.92,,,,,,0.26,0.31,0.58,4.92,6.47,40
Lorenzo Cain,CF,MIL,SF@MIL,1.72,6.84,5.24,,,,,,0.26,0.34,0.7,5.24,6.84,37
Paul DeJong,SS,STL,NYM@STL,1.72,6.77,5.05,,,,,,0.41,0.33,0.54,5.05,6.77,15
Seth Beer,OF,ARI,LAD@ARI,1.71,6.53,4.96,,,,,,0.37,0.28,0.66,4.96,6.53,38
Owen Miller,SS,CLE,CLE@LAA,1.71,6.13,4.75,,,,,,0.23,0.38,0.7,4.75,6.13,80
James McCann,1B,NYM,NYM@STL,1.68,6.4,4.87,,,,,,0.36,0.32,0.68,4.87,6.4,26
Zack Collins,1B,TOR,BOS@TOR,1.67,6.35,4.76,,,,,,0.4,0.31,0.58,4.76,6.35,25
Christian Vazquez,C,BOS,BOS@TOR,1.64,6.29,4.9,,,,,,0.3,0.28,0.79,4.9,6.29,34
Wilmer Flores,1B,SF,SF@MIL,1.63,5.94,4.54,,,,,,0.32,0.31,0.63,4.54,5.94,19
Yadier Molina,C,STL,NYM@STL,1.63,6.05,4.67,,,,,,0.4,0.28,0.72,4.67,6.05,49
Raimel Tapia,CF,TOR,BOS@TOR,1.62,6.12,4.75,,,,,,0.25,0.39,0.68,4.75,6.12,14
Santiago Espinal,2B,TOR,BOS@TOR,1.61,6.02,4.57,,,,,,0.29,0.3,0.57,4.57,6.02,13
Thairo Estrada,2B,SF,SF@MIL,1.6,6.29,4.76,,,,,,0.33,0.36,0.6,4.76,6.29,50
Nick Ahmed,SS,ARI,LAD@ARI,1.59,6.67,5.14,,,,,,0.29,0.32,0.76,5.14,6.67,4
Chas McCormick,CF,HOU,HOU@TEX,1.55,5.95,4.56,,,,,,0.31,0.3,0.64,4.56,5.95,4
David Fletcher,2B,LAA,CLE@LAA,1.46,5.42,4.29,,,,,,0.2,0.37,0.73,4.29,5.42,12
Robinson Cano,2B,NYM,NYM@STL,1.46,5.36,4.12,,,,,,0.3,0.25,0.6,4.12,5.36,16
Mitch Garver,C,TEX,HOU@TEX,1.43,5.73,4.24,,,,,,0.34,0.27,0.47,4.24,5.73,89
Andy Ibanez,3B,TEX,HOU@TEX,1.43,5.17,3.96,,,,,,0.26,0.3,0.56,3.96,5.17,4
Aledmys Diaz,2B,HOU,HOU@TEX,1.42,5.27,4.01,,,,,,0.29,0.24,0.53,4.01,5.27,3
Jace Peterson,LF,MIL,SF@MIL,1.34,5.21,4.03,,,,,,0.22,0.26,0.6,4.03,5.21,1
Taylor Ward,3B,LAA,CLE@LAA,1.33,5.1,3.8,,,,,,0.26,0.28,0.46,3.8,5.1,24
Rowdy Tellez,1B,MIL,SF@MIL,1.31,4.91,3.75,,,,,,0.25,0.22,0.51,3.75,4.91,22
Darin Ruf,OF,SF,SF@MIL,1.29,5.39,4.04,,,,,,0.27,0.28,0.49,4.04,5.39,14
Jackie Bradley,CF,BOS,BOS@TOR,1.29,5.28,4.05,,,,,,0.2,0.26,0.55,4.05,5.28,2
Omar Narvaez,C,MIL,SF@MIL,1.27,4.98,3.81,,,,,,0.27,0.23,0.53,3.81,4.98,48
Alejandro Kirk,C,TOR,BOS@TOR,1.27,4.64,3.57,,,,,,0.22,0.21,0.52,3.57,4.64,58
Corey Dickerson,LF,STL,NYM@STL,1.26,4.65,3.6,,,,,,0.21,0.26,0.53,3.6,4.65,2
Carson Kelly,C,ARI,LAD@ARI,1.25,5.17,3.96,,,,,,0.22,0.25,0.55,3.96,5.17,38
Joey Bart,C,SF,SF@MIL,1.18,5.51,4.15,,,,,,0.27,0.28,0.5,4.15,5.51,61
Tyler Wade,2B,LAA,CLE@LAA,1.13,4.84,3.64,,,,,,0.19,0.24,0.5,3.64,4.84,13
Martin Maldonado,C,HOU,HOU@TEX,1.13,4.76,3.54,,,,,,0.23,0.26,0.4,3.54,4.76,2
Austin Hedges,C,CLE,CLE@LAA,1.09,4.69,3.56,,,,,,0.25,0.28,0.47,3.56,4.69,2
Sergio Alcantara,SS,ARI,LAD@ARI,0.93,4.02,3.06,,,,,,0.19,0.22,0.39,3.06,4.02,null
