PLAYER,POS,TEAM,GAME,FP,FD EXP,DK EXP,INN,K,HA,ER,BBI,RBI,R,H,DK,FD,OWNERSHIP
Garrett Cooper,1B,MIA,MIA@WAS,3.26,11.89,9.04,,,,,,0.64,0.63,1.19,9.04,11.89,11
Joey Votto,1B,CIN,SD@CIN,3.21,11.46,8.45,,,,,,0.62,0.56,0.83,8.45,11.46,91
Tyler O`Neill,RF,STL,ARI@STL,3.19,11.84,8.84,,,,,,0.7,0.72,0.96,8.84,11.84,99
Bo Bichette,SS,TOR,BOS@TOR,3.19,12.16,9.23,,,,,,0.67,0.77,1.17,9.23,12.16,100
Trevor Story,2B,BOS,BOS@TOR,3.17,12.28,9.34,,,,,,0.5,0.61,1.1,9.34,12.28,100
Rhys Hoskins,1B,PHI,COL@PHI,3.14,11.29,8.3,,,,,,0.66,0.63,0.88,8.3,11.29,99
Xander Bogaerts,SS,BOS,BOS@TOR,3.13,11.54,9.01,,,,,,0.51,0.61,1.37,9.01,11.54,100
Lourdes Gurriel,OF,TOR,BOS@TOR,3.13,11.22,8.52,,,,,,0.68,0.6,1.18,8.52,11.22,95
Jose Abreu,1B,CHW,KC@CHW,3.11,11.01,8.19,,,,,,0.69,0.57,0.94,8.19,11.01,100
Kolten Wong,2B,MIL,MIL@PIT,3.09,11.21,8.67,,,,,,0.54,0.43,1.28,8.67,11.21,83
Luis Robert,CF,CHW,KC@CHW,3.08,11.53,8.85,,,,,,0.51,0.58,1.15,8.85,11.53,100
Yordan Alvarez,OF,HOU,HOU@TEX,3.08,10.91,8.15,,,,,,0.6,0.6,0.96,8.15,10.91,100
Tyler Naquin,RF,CIN,SD@CIN,3.07,11.42,8.63,,,,,,0.65,0.51,1.05,8.63,11.42,17
Jurickson Profar,2B,SD,SD@CIN,3.06,11.08,8.29,,,,,,0.56,0.58,0.94,8.29,11.08,82
Jean Segura,2B,PHI,COL@PHI,3.04,10.51,8.22,,,,,,0.47,0.62,1.27,8.22,10.51,90
Tim Anderson,SS,CHW,KC@CHW,3.03,11.21,8.76,,,,,,0.44,0.72,1.3,8.76,11.21,99
Corey Seager,SS,TEX,HOU@TEX,3.02,10.59,8.06,,,,,,0.56,0.56,1.07,8.06,10.59,100
Jorge Soler,OF,MIA,MIA@WAS,3.01,11.12,8.31,,,,,,0.6,0.47,0.87,8.31,11.12,66
Aaron Judge,RF,NYY,BAL@NYY,3,11.05,8.2,,,,,,0.65,0.59,0.85,8.2,11.05,100
Javier Baez,SS,DET,DET@MIN,2.99,11.84,9.01,,,,,,0.74,0.54,1.11,9.01,11.84,98
Jake Cronenworth,1B,SD,SD@CIN,2.99,10.56,8.04,,,,,,0.47,0.58,1.04,8.04,10.56,98
Tommy Edman,2B,STL,ARI@STL,2.99,10.74,8.32,,,,,,0.4,0.59,1.07,8.32,10.74,98
Jorge Polanco,2B,MIN,DET@MIN,2.98,10.51,7.95,,,,,,0.58,0.63,1.06,7.95,10.51,99
Alex Bregman,3B,HOU,HOU@TEX,2.98,10.37,7.8,,,,,,0.58,0.63,1.04,7.8,10.37,100
Dylan Carlson,RF,STL,ARI@STL,2.98,10.6,8.07,,,,,,0.51,0.62,1.05,8.07,10.6,83
Max Kepler,RF,MIN,DET@MIN,2.97,10.71,8,,,,,,0.59,0.52,0.89,8,10.71,48
Jared Walsh,1B,LAA,CLE@LAA,2.97,11.12,8.38,,,,,,0.7,0.52,1.08,8.38,11.12,95
Avisail Garcia,RF,MIA,MIA@WAS,2.96,11.22,8.35,,,,,,0.61,0.54,0.97,8.35,11.22,77
Willy Adames,SS,MIL,MIL@PIT,2.95,11.02,8.42,,,,,,0.48,0.54,1.08,8.42,11.02,97
Charlie Blackmon,CF,COL,COL@PHI,2.94,10.52,7.96,,,,,,0.55,0.57,1.06,7.96,10.52,91
Jon Berti,2B,MIA,MIA@WAS,2.93,10.62,7.97,,,,,,0.43,0.69,1.03,7.97,10.62,1
Alex Verdugo,RF,BOS,BOS@TOR,2.92,10.26,7.85,,,,,,0.53,0.53,1.1,7.85,10.26,97
Frank Schwindel,OF,CHC,CHC@ATL,2.9,10.31,7.84,,,,,,0.61,0.49,1.05,7.84,10.31,84
Marcus Semien,2B,TEX,HOU@TEX,2.89,10.67,8.05,,,,,,0.5,0.62,0.92,8.05,10.67,100
Austin Riley,3B,ATL,CHC@ATL,2.89,10.6,7.94,,,,,,0.55,0.66,1,7.94,10.6,100
Wander Franco,2B,TB,SEA@TB,2.88,9.99,7.7,,,,,,0.49,0.58,1.08,7.7,9.99,100
Jake Fraley,RF,CIN,SD@CIN,2.86,10.75,7.96,,,,,,0.57,0.49,0.81,7.96,10.75,6
Brian Anderson,3B,MIA,MIA@WAS,2.86,10.45,8.06,,,,,,0.52,0.54,1.19,8.06,10.45,18
Robbie Grossman,RF,DET,DET@MIN,2.85,10.89,8.3,,,,,,0.45,0.57,0.98,8.3,10.89,50
Jose Adolis Garcia,RF,TEX,HOU@TEX,2.84,10.8,8.12,,,,,,0.52,0.57,0.86,8.12,10.8,84
DJ LeMahieu,2B,NYY,BAL@NYY,2.84,9.59,7.39,,,,,,0.43,0.59,1.11,7.39,9.59,97
Jeremy Pena,SS,HOU,HOU@TEX,2.83,10.04,7.63,,,,,,0.52,0.58,0.99,7.63,10.04,81
Kris Bryant,3B,COL,COL@PHI,2.82,10.33,7.99,,,,,,0.42,0.59,1.14,7.99,10.33,100
Spencer Torkelson,1B,DET,DET@MIN,2.82,10.39,7.87,,,,,,0.57,0.48,0.94,7.87,10.39,88
Michael Brantley,OF,HOU,HOU@TEX,2.82,9.99,7.71,,,,,,0.53,0.56,1.14,7.71,9.99,88
Bryan De La Cruz,LF,MIA,MIA@WAS,2.82,10.19,7.77,,,,,,0.45,0.5,1.01,7.77,10.19,3
Jacob Realmuto,1B,PHI,COL@PHI,2.79,10.12,7.78,,,,,,0.48,0.57,1.03,7.78,10.12,99
J.P. Crawford,SS,SEA,SEA@TB,2.78,9.81,7.63,,,,,,0.48,0.52,1.21,7.63,9.81,76
Kyle Garlick,LF,MIN,DET@MIN,2.76,10.19,7.66,,,,,,0.51,0.58,0.88,7.66,10.19,null
Ryan McMahon,2B,COL,COL@PHI,2.75,10.6,8.01,,,,,,0.57,0.55,1.02,8.01,10.6,95
Ryan Mountcastle,1B,BAL,BAL@NYY,2.75,10.64,8.07,,,,,,0.64,0.49,0.99,8.07,10.64,94
Joey Gallo,LF,NYY,BAL@NYY,2.75,10.48,7.74,,,,,,0.5,0.57,0.74,7.74,10.48,86
Adam Duvall,LF,ATL,CHC@ATL,2.75,9.97,7.29,,,,,,0.75,0.53,0.72,7.29,9.97,60
Josh Naylor,1B,CLE,CLE@LAA,2.74,10,7.58,,,,,,0.54,0.58,0.97,7.58,10,28
Nathaniel Lowe,1B,TEX,HOU@TEX,2.73,10,7.56,,,,,,0.58,0.46,0.98,7.56,10,66
Bryan Reynolds,CF,PIT,MIL@PIT,2.7,10.17,7.64,,,,,,0.52,0.49,0.89,7.64,10.17,99
Yasmani Grandal,1B,CHW,KC@CHW,2.69,9.6,6.98,,,,,,0.61,0.47,0.65,6.98,9.6,98
Connor Joe,1B,COL,COL@PHI,2.69,9.87,7.61,,,,,,0.47,0.46,1.01,7.61,9.87,93
Luis Torrens,1B,SEA,SEA@TB,2.65,9.63,7.4,,,,,,0.54,0.41,1,7.4,9.63,7
Anthony Santander,RF,BAL,BAL@NYY,2.65,9.64,7.31,,,,,,0.46,0.44,0.92,7.31,9.64,55
Yandy Diaz,1B,TB,SEA@TB,2.65,9.01,6.83,,,,,,0.46,0.46,0.93,6.83,9.01,11
Colin Moran,1B,CIN,SD@CIN,2.65,9.87,7.37,,,,,,0.67,0.42,0.88,7.37,9.87,14
Trent Grisham,RF,SD,SD@CIN,2.65,10.49,7.91,,,,,,0.43,0.53,0.89,7.91,10.49,66
Seiya Suzuki,LF,CHC,CHC@ATL,2.64,10.22,7.7,,,,,,0.52,0.52,0.94,7.7,10.22,98
Carlos Correa,SS,MIN,DET@MIN,2.64,9.47,7.29,,,,,,0.38,0.52,1,7.29,9.47,99
J.D. Martinez,OF,BOS,BOS@TOR,2.64,10.15,7.67,,,,,,0.58,0.48,1.01,7.67,10.15,99
Josh Bell,1B,WAS,MIA@WAS,2.62,9.2,6.94,,,,,,0.46,0.45,0.89,6.94,9.2,98
Christian Walker,1B,ARI,ARI@STL,2.6,9.51,7.16,,,,,,0.51,0.52,0.89,7.16,9.51,19
Derek Hill,CF,DET,DET@MIN,2.6,10.17,7.82,,,,,,0.45,0.56,1.03,7.82,10.17,1
Giancarlo Stanton,OF,NYY,BAL@NYY,2.59,9.71,7.25,,,,,,0.61,0.46,0.84,7.25,9.71,99
Whit Merrifield,2B,KC,KC@CHW,2.58,9.9,7.68,,,,,,0.49,0.5,1.05,7.68,9.9,99
Amed Rosario,SS,CLE,CLE@LAA,2.58,9.55,7.39,,,,,,0.47,0.55,1.06,7.39,9.55,52
Matt Chapman,3B,TOR,BOS@TOR,2.58,10.1,7.56,,,,,,0.61,0.49,0.89,7.56,10.1,97
Eugenio Suarez,SS,SEA,SEA@TB,2.57,9.6,7.16,,,,,,0.5,0.52,0.84,7.16,9.6,76
Brandon Lowe,2B,TB,SEA@TB,2.56,9.44,7.12,,,,,,0.46,0.55,0.87,7.12,9.44,99
Eric Hosmer,1B,SD,SD@CIN,2.55,9.41,7.26,,,,,,0.53,0.41,1.13,7.26,9.41,35
Giovanny Urshela,3B,MIN,DET@MIN,2.54,9.05,7.04,,,,,,0.39,0.51,1.04,7.04,9.05,30
Odubel Herrera,CF,PHI,COL@PHI,2.54,8.7,6.63,,,,,,0.46,0.5,0.88,6.63,8.7,8
Luis Arraez,2B,MIN,DET@MIN,2.53,9.13,6.85,,,,,,0.56,0.47,0.88,6.85,9.13,45
Payton Henry,C,MIA,MIA@WAS,2.53,9.2,7,,,,,,0.47,0.41,0.9,7,9.2,null
Steven Kwan,LF,CLE,CLE@LAA,2.52,9.57,7.24,,,,,,0.48,0.56,0.94,7.24,9.57,82
Jesse Winker,RF,SEA,SEA@TB,2.52,9.5,7.21,,,,,,0.46,0.52,0.94,7.21,9.5,96
Manuel Margot,CF,TB,SEA@TB,2.51,9.24,7.2,,,,,,0.47,0.42,1.05,7.2,9.24,16
Andrew Benintendi,LF,KC,KC@CHW,2.5,9.23,7.13,,,,,,0.49,0.42,1.06,7.13,9.23,68
David Peralta,LF,ARI,ARI@STL,2.49,8.88,6.83,,,,,,0.46,0.36,0.99,6.83,8.88,19
Nelson Cruz,OF,WAS,MIA@WAS,2.49,9.09,6.78,,,,,,0.53,0.5,0.81,6.78,9.09,87
C.J. Cron,1B,COL,COL@PHI,2.49,8.92,6.73,,,,,,0.54,0.4,0.81,6.73,8.92,98
Christian Yelich,LF,MIL,MIL@PIT,2.48,9.64,7.4,,,,,,0.34,0.47,1.01,7.4,9.64,99
Ha-seong Kim,2B,SD,SD@CIN,2.48,9.34,7.07,,,,,,0.47,0.51,0.85,7.07,9.34,11
Adam Frazier,2B,SEA,SEA@TB,2.48,9.07,6.98,,,,,,0.33,0.52,1.08,6.98,9.07,43
Hunter Renfroe,LF,MIL,MIL@PIT,2.47,9.23,6.94,,,,,,0.52,0.46,0.81,6.94,9.23,75
Tim Locastro,CF,NYY,BAL@NYY,2.46,9.29,7.02,,,,,,0.38,0.51,0.8,7.02,9.29,null
Thomas Pham,CF,CIN,SD@CIN,2.44,9.6,7.25,,,,,,0.37,0.52,0.82,7.25,9.6,33
Didi Gregorius,SS,PHI,COL@PHI,2.44,8.39,6.41,,,,,,0.56,0.41,0.92,6.41,8.39,23
Ketel Marte,2B,ARI,ARI@STL,2.42,8.82,6.84,,,,,,0.4,0.42,1.04,6.84,8.82,99
Alec Bohm,1B,PHI,COL@PHI,2.42,8.7,6.63,,,,,,0.55,0.48,0.98,6.63,8.7,63
Willson Contreras,C,CHC,CHC@ATL,2.41,9.02,6.69,,,,,,0.43,0.56,0.78,6.69,9.02,99
Harold Ramirez,RF,TB,SEA@TB,2.41,8.9,6.83,,,,,,0.53,0.38,1.09,6.83,8.9,1
Hunter Dozier,3B,KC,KC@CHW,2.4,9.71,7.38,,,,,,0.47,0.49,0.94,7.38,9.71,36
Salvador Perez,1B,KC,KC@CHW,2.4,9.02,6.81,,,,,,0.57,0.44,0.81,6.81,9.02,100
Ke`Bryan Hayes,3B,PIT,MIL@PIT,2.39,9.27,7.07,,,,,,0.4,0.47,0.92,7.07,9.27,92
Austin Hays,RF,BAL,BAL@NYY,2.39,9.09,6.84,,,,,,0.54,0.39,0.86,6.84,9.09,37
Julio Rodriguez,RF,SEA,SEA@TB,2.38,9.26,7.03,,,,,,0.43,0.47,0.91,7.03,9.26,91
Pavin Smith,1B,ARI,ARI@STL,2.37,8.64,6.68,,,,,,0.37,0.43,0.99,6.68,8.64,23
Brandon Drury,3B,CIN,SD@CIN,2.37,8.96,6.77,,,,,,0.42,0.44,0.81,6.77,8.96,1
Patrick Wisdom,3B,CHC,CHC@ATL,2.36,9.46,7.06,,,,,,0.58,0.49,0.79,7.06,9.46,68
Kyle Farmer,1B,CIN,SD@CIN,2.36,8.72,6.67,,,,,,0.48,0.38,0.98,6.67,8.72,17
Dansby Swanson,SS,ATL,CHC@ATL,2.36,9.08,6.68,,,,,,0.53,0.54,0.77,6.68,9.08,83
CJ Abrams,2B,SD,SD@CIN,2.35,9,6.81,,,,,,0.42,0.51,0.86,6.81,9,47
Kyle Higashioka,C,NYY,BAL@NYY,2.35,8.45,6.33,,,,,,0.51,0.44,0.75,6.33,8.45,14
Matt Beaty,1B,SD,SD@CIN,2.35,8.75,6.63,,,,,,0.53,0.47,0.87,6.63,8.75,1
Andres Gimenez,2B,CLE,CLE@LAA,2.34,8.96,6.85,,,,,,0.44,0.52,0.93,6.85,8.96,26
Cesar Hernandez,2B,WAS,MIA@WAS,2.33,8.43,6.43,,,,,,0.38,0.47,0.88,6.43,8.43,18
Franmil Reyes,OF,CLE,CLE@LAA,2.32,9.5,7.17,,,,,,0.54,0.49,0.91,7.17,9.5,94
Harrison Bader,CF,STL,ARI@STL,2.32,8.49,6.45,,,,,,0.4,0.47,0.78,6.45,8.49,33
Anthony Rendon,3B,LAA,CLE@LAA,2.31,8.54,6.41,,,,,,0.38,0.43,0.79,6.41,8.54,98
Carlos Santana,1B,KC,KC@CHW,2.31,8.37,6.1,,,,,,0.41,0.43,0.58,6.1,8.37,12
Josh Lowe,CF,TB,SEA@TB,2.27,8.74,6.65,,,,,,0.43,0.49,0.84,6.65,8.74,40
Trevor Larnach,RF,MIN,DET@MIN,2.27,8.63,6.49,,,,,,0.44,0.46,0.79,6.49,8.63,6
Jonathan Schoop,2B,DET,DET@MIN,2.25,8.25,6.4,,,,,,0.41,0.44,0.94,6.4,8.25,45
Myles Straw,OF,CLE,CLE@LAA,2.22,8.72,6.75,,,,,,0.26,0.6,0.96,6.75,8.72,80
Lorenzo Cain,CF,MIL,MIL@PIT,2.2,8.32,6.32,,,,,,0.31,0.42,0.79,6.32,8.32,35
Marwin Gonzalez,1B,NYY,BAL@NYY,2.2,7.88,5.99,,,,,,0.41,0.45,0.82,5.99,7.88,1
Mike Moustakas,3B,CIN,SD@CIN,2.19,8.38,6.29,,,,,,0.48,0.4,0.77,6.29,8.38,20
Andrew McCutchen,RF,MIL,MIL@PIT,2.18,7.87,5.96,,,,,,0.31,0.36,0.65,5.96,7.87,39
Harold Castro,2B,DET,DET@MIN,2.18,8.21,6.39,,,,,,0.44,0.45,1.06,6.39,8.21,1
Brandon Marsh,CF,LAA,CLE@LAA,2.16,8.24,6.19,,,,,,0.45,0.4,0.76,6.19,8.24,52
Kole Calhoun,RF,TEX,HOU@TEX,2.14,8.07,6.13,,,,,,0.41,0.37,0.79,6.13,8.07,14
Ian Happ,2B,CHC,CHC@ATL,2.14,8.22,6.17,,,,,,0.4,0.43,0.73,6.17,8.22,63
Gilberto Celestino,CF,MIN,DET@MIN,2.14,8.08,6.07,,,,,,0.38,0.48,0.71,6.07,8.08,null
Daulton Varsho,C,ARI,ARI@STL,2.13,7.98,6.06,,,,,,0.4,0.38,0.69,6.06,7.98,97
Willi Castro,3B,DET,DET@MIN,2.13,8.25,6.34,,,,,,0.39,0.47,0.87,6.34,8.25,2
Abraham Toro-Hernandez,2B,SEA,SEA@TB,2.13,7.94,6.1,,,,,,0.35,0.4,0.93,6.1,7.94,8
A.J. Pollock,CF,CHW,KC@CHW,2.11,7.76,5.91,,,,,,0.45,0.36,0.81,5.91,7.76,61
Nick Madrigal,2B,CHC,CHC@ATL,2.11,7.47,5.84,,,,,,0.38,0.38,0.95,5.84,7.47,30
Jarred Kelenic,RF,SEA,SEA@TB,2.11,8.32,6.29,,,,,,0.41,0.39,0.79,6.29,8.32,75
Brett Phillips,CF,TB,SEA@TB,2.09,8.74,6.62,,,,,,0.45,0.42,0.73,6.62,8.74,1
Taylor Walls,SS,TB,SEA@TB,2.08,8.11,6.23,,,,,,0.35,0.38,0.85,6.23,8.11,3
Ryan Jeffers,DH,MIN,DET@MIN,2.07,8,6.03,,,,,,0.47,0.38,0.74,6.03,8,5
Brendan Rodgers,2B,COL,COL@PHI,2.05,8,6.27,,,,,,0.33,0.42,0.96,6.27,8,60
Travis d`Arnaud,C,ATL,CHC@ATL,2.05,7.39,5.56,,,,,,0.43,0.42,0.74,5.56,7.39,82
Bobby Witt,3B,KC,KC@CHW,2.02,8.09,6.23,,,,,,0.39,0.44,0.87,6.23,8.09,95
Seth Beer,OF,ARI,ARI@STL,2.02,7.29,5.52,,,,,,0.4,0.3,0.72,5.52,7.29,37
Jorge Alfaro,1B,SD,SD@CIN,2.02,8.61,6.6,,,,,,0.47,0.41,0.89,6.6,8.61,6
Victor Robles,CF,WAS,MIA@WAS,1.97,7.88,5.86,,,,,,0.36,0.48,0.72,5.86,7.88,8
Rene Pinto,C,TB,SEA@TB,1.96,7.49,5.68,,,,,,0.41,0.38,0.77,5.68,7.49,null
Jake Burger,3B,CHW,KC@CHW,1.94,7.02,5.33,,,,,,0.4,0.37,0.69,5.33,7.02,5
Andrew Vaughn,1B,CHW,KC@CHW,1.94,6.93,5.26,,,,,,0.41,0.32,0.7,5.26,6.93,76
Max Stassi,C,LAA,CLE@LAA,1.93,7.26,5.46,,,,,,0.35,0.4,0.64,5.46,7.26,35
Willie Calhoun,OF,TEX,HOU@TEX,1.92,6.73,5.13,,,,,,0.25,0.39,0.66,5.13,6.73,8
Taylor Ward,3B,LAA,CLE@LAA,1.91,6.87,5.09,,,,,,0.38,0.4,0.52,5.09,6.87,52
Trey Mancini,DH,BAL,BAL@NYY,1.9,7.83,5.99,,,,,,0.39,0.41,0.83,5.99,7.83,53
Mitch Garver,C,TEX,HOU@TEX,1.89,6.93,5.26,,,,,,0.35,0.36,0.66,5.26,6.93,87
Michael Taylor,CF,KC,KC@CHW,1.88,7.61,5.78,,,,,,0.37,0.44,0.75,5.78,7.61,5
Mark Kolozsvary,C,CIN,SD@CIN,1.88,7.64,5.76,,,,,,0.4,0.38,0.72,5.76,7.64,null
Josh Harrison,2B,CHW,KC@CHW,1.87,6.66,5.13,,,,,,0.27,0.37,0.77,5.13,6.66,13
Santiago Espinal,2B,TOR,BOS@TOR,1.86,6.73,5.1,,,,,,0.34,0.35,0.64,5.1,6.73,16
Enrique Hernandez,2B,BOS,BOS@TOR,1.85,6.89,5.23,,,,,,0.35,0.38,0.68,5.23,6.89,62
Paul DeJong,SS,STL,ARI@STL,1.85,6.98,5.2,,,,,,0.43,0.34,0.57,5.2,6.98,15
Zack Collins,1B,TOR,BOS@TOR,1.84,6.82,5.11,,,,,,0.42,0.33,0.61,5.11,6.82,28
Ben Gamel,LF,PIT,MIL@PIT,1.82,7.55,5.59,,,,,,0.29,0.39,0.65,5.59,7.55,3
Randal Grichuk,RF,COL,COL@PHI,1.82,6.99,5.28,,,,,,0.48,0.34,0.71,5.28,6.99,65
Yadier Molina,C,STL,ARI@STL,1.82,6.47,4.99,,,,,,0.42,0.31,0.77,4.99,6.47,48
Gavin Sheets,1B,CHW,KC@CHW,1.81,6.5,4.92,,,,,,0.38,0.32,0.62,4.92,6.5,14
Nick Ahmed,SS,ARI,ARI@STL,1.78,7.06,5.44,,,,,,0.29,0.33,0.79,5.44,7.06,3
Raimel Tapia,CF,TOR,BOS@TOR,1.77,6.53,5.04,,,,,,0.28,0.43,0.72,5.04,6.53,14
Alex Dickerson,LF,ATL,CHC@ATL,1.75,6.45,4.77,,,,,,0.37,0.38,0.52,4.77,6.45,1
Rowdy Tellez,1B,MIL,MIL@PIT,1.75,6.24,4.71,,,,,,0.33,0.29,0.58,4.71,6.24,21
Jace Peterson,LF,MIL,MIL@PIT,1.72,6.4,4.9,,,,,,0.27,0.32,0.68,4.9,6.4,1
Nico Hoerner,2B,CHC,CHC@ATL,1.72,6.52,5.07,,,,,,0.31,0.3,0.74,5.07,6.52,28
Nicky Lopez,2B,KC,KC@CHW,1.7,6.29,4.95,,,,,,0.18,0.38,0.77,4.95,6.29,33
Brad Miller,1B,TEX,HOU@TEX,1.7,6.45,4.82,,,,,,0.39,0.31,0.53,4.82,6.45,11
Aledmys Diaz,2B,HOU,HOU@TEX,1.7,5.93,4.48,,,,,,0.38,0.31,0.6,4.48,5.93,3
Elias Diaz,C,COL,COL@PHI,1.69,6.06,4.61,,,,,,0.31,0.33,0.6,4.61,6.06,67
Omar Narvaez,C,MIL,MIL@PIT,1.69,6.3,4.77,,,,,,0.32,0.28,0.61,4.77,6.3,48
Bobby Dalbec,3B,BOS,BOS@TOR,1.6,6.59,5.04,,,,,,0.34,0.3,0.6,5.04,6.59,41
Owen Miller,SS,CLE,CLE@LAA,1.6,6.01,4.54,,,,,,0.38,0.31,0.61,4.54,6.01,77
Tucker Barnhart,C,DET,DET@MIN,1.6,6.75,5.22,,,,,,0.33,0.32,0.82,5.22,6.75,6
Chas McCormick,CF,HOU,HOU@TEX,1.59,5.96,4.47,,,,,,0.34,0.31,0.6,4.47,5.96,4
Josh VanMeter,2B,PIT,MIL@PIT,1.58,6.95,5.24,,,,,,0.32,0.3,0.66,5.24,6.95,null
Christian Vazquez,C,BOS,BOS@TOR,1.57,6.09,4.76,,,,,,0.28,0.28,0.78,4.76,6.09,35
Carson Kelly,C,ARI,ARI@STL,1.51,5.74,4.39,,,,,,0.24,0.28,0.59,4.39,5.74,37
Keibert Ruiz,C,WAS,MIA@WAS,1.5,5.62,4.22,,,,,,0.35,0.28,0.55,4.22,5.62,82
Jose Iglesias,2B,COL,COL@PHI,1.49,5.42,4.23,,,,,,0.27,0.27,0.66,4.23,5.42,6
Corey Dickerson,LF,STL,ARI@STL,1.46,5.16,3.98,,,,,,0.26,0.29,0.58,3.98,5.16,2
Austin Hedges,C,CLE,CLE@LAA,1.46,5.67,4.25,,,,,,0.34,0.31,0.53,4.25,5.67,2
Rafael Ortega,RF,CHC,CHC@ATL,1.42,5.49,4.12,,,,,,0.2,0.3,0.55,4.12,5.49,10
Yadiel Hernandez,LF,WAS,MIA@WAS,1.41,5.3,3.99,,,,,,0.27,0.29,0.51,3.99,5.3,1
Alcides Escobar,SS,WAS,MIA@WAS,1.4,5.1,3.91,,,,,,0.22,0.31,0.56,3.91,5.1,1
Alejandro Kirk,C,TOR,BOS@TOR,1.4,4.97,3.81,,,,,,0.24,0.22,0.53,3.81,4.97,58
Daniel Vogelbach,1B,PIT,MIL@PIT,1.38,5.18,3.93,,,,,,0.23,0.29,0.49,3.93,5.18,18
Maikel Franco,3B,WAS,MIA@WAS,1.38,4.95,3.73,,,,,,0.29,0.24,0.48,3.73,4.95,18
Andy Ibanez,3B,TEX,HOU@TEX,1.37,5.03,3.84,,,,,,0.25,0.29,0.51,3.84,5.03,4
Jake Marisnick,CF,PIT,MIL@PIT,1.36,5.8,4.42,,,,,,0.27,0.27,0.55,4.42,5.8,null
Martin Maldonado,C,HOU,HOU@TEX,1.32,5.11,3.73,,,,,,0.29,0.29,0.38,3.73,5.11,2
Rougned Odor,2B,BAL,BAL@NYY,1.31,5.32,4.03,,,,,,0.28,0.24,0.5,4.03,5.32,4
Edward Olivares,CF,KC,KC@CHW,1.31,5.13,3.94,,,,,,0.24,0.28,0.54,3.94,5.13,2
Andrew Velazquez,2B,LAA,CLE@LAA,1.29,5.06,3.87,,,,,,0.23,0.27,0.51,3.87,5.06,null
