PLAYER,POS,TEAM,GAME,FP,FD EXP,DK EXP,INN,K,HA,ER,BBI,RBI,R,H,DK,FD,OWNERSHIP
Bryce Harper,RF,PHI,COL@PHI,4.73,16.35,12.25,,,,,,0.79,0.93,1.38,12.25,16.35,100
Vladimir Guerrero Jr.,1B,TOR,BOS@TOR,4.28,14.67,10.93,,,,,,0.85,0.8,1.25,10.93,14.67,100
Jose Ramirez,3B,CLE,CLE@LAA,4.08,14.12,10.57,,,,,,0.81,0.77,1.22,10.57,14.12,100
Matt Olson,1B,ATL,CHC@ATL,4.07,14.17,10.41,,,,,,0.79,0.8,0.97,10.41,14.17,100
Nolan Arenado,3B,STL,ARI@STL,4,13.34,10,,,,,,0.88,0.65,1.18,10,13.34,100
Ty France,1B,SEA,SEA@TB,3.97,13.43,10.3,,,,,,0.76,0.67,1.41,10.3,13.43,99
Nick Castellanos,RF,PHI,COL@PHI,3.94,13.56,10.29,,,,,,0.81,0.74,1.38,10.29,13.56,100
Mike Trout,CF,LAA,CLE@LAA,3.87,13.71,10.29,,,,,,0.65,0.71,1.12,10.29,13.71,100
Ronald Acuna,LF,ATL,CHC@ATL,3.8,13.97,10.29,,,,,,0.69,0.82,0.99,10.29,13.97,100
Manny Machado,3B,SD,SD@CIN,3.77,13.43,10.08,,,,,,0.79,0.74,1.2,10.08,13.43,100
Kyle Tucker,LF,HOU,HOU@TEX,3.66,13.04,9.66,,,,,,0.88,0.66,1,9.66,13.04,100
Anthony Rizzo,1B,NYY,BAL@NYY,3.65,12.49,9.47,,,,,,0.54,0.66,1.07,9.47,12.49,99
Yulieski Gurriel,1B,HOU,HOU@TEX,3.6,11.95,9.05,,,,,,0.64,0.7,1.22,9.05,11.95,76
George Springer,CF,TOR,BOS@TOR,3.59,12.82,9.64,,,,,,0.66,0.77,1.14,9.64,12.82,100
Ozzie Albies,2B,ATL,CHC@ATL,3.57,12.79,9.51,,,,,,0.78,0.7,1.07,9.51,12.79,100
Jesus Aguilar,1B,MIA,MIA@WAS,3.41,11.8,8.82,,,,,,0.65,0.52,1.04,8.82,11.8,71
Miguel Rojas,SS,MIA,MIA@WAS,3.41,11.74,8.92,,,,,,0.51,0.68,1.14,8.92,11.74,16
Josh Donaldson,3B,NYY,BAL@NYY,3.37,11.76,8.65,,,,,,0.65,0.6,0.83,8.65,11.76,96
Shohei Ohtani,OF,LAA,CLE@LAA,3.36,13.01,9.65,,,,,,0.58,0.7,0.97,9.65,13.01,100
Kyle Schwarber,DH,PHI,COL@PHI,3.35,12.01,8.78,,,,,,0.69,0.77,0.85,8.78,12.01,100
Cedric Mullins,CF,BAL,BAL@NYY,3.34,12.47,9.62,,,,,,0.41,0.6,1.12,9.62,12.47,100
Juan Soto,LF,WAS,MIA@WAS,3.32,11.85,8.59,,,,,,0.55,0.73,0.85,8.59,11.85,100
Austin Meadows,RF,DET,DET@MIN,3.31,11.72,8.86,,,,,,0.67,0.56,1.12,8.86,11.72,98
Marcell Ozuna,LF,ATL,CHC@ATL,3.3,11.83,8.86,,,,,,0.69,0.66,1.01,8.86,11.83,99
Paul Goldschmidt,1B,STL,ARI@STL,3.28,11.42,8.67,,,,,,0.58,0.66,1.13,8.67,11.42,100
Rafael Devers,3B,BOS,BOS@TOR,3.27,11.94,8.95,,,,,,0.69,0.58,1.04,8.95,11.94,100
